City Name,State Code,State,Total Population,Male Population,Female Population,Literates,Male Literates,Female Literates,Sex Ratio,Child Sex Ratio,Literacy Rate,Male Literacy Rate,Female Literacy Rate,Graduates,Male Graduates,Female Graduates
Kharagpur ,19,WEST BENGAL,206923,106735,100188,163915,89075,74840,939,952,86.64,91.22,81.76,24881,14511,10370
Khardaha ,19,WEST BENGAL,111130,56792,54338,99848,51668,48180,957,932,95.5,96.78,94.17,21522,12228,9294
Khargone ,23,MADHYA PRADESH,106452,54684,51768,77216,42390,34826,947,906,82.96,88.94,76.69,12584,7745,4839
Khora ,9,UTTAR PRADESH,189410,102669,86741,140013,82194,57819,845,854,86,93.06,77.62,10482,7313,3169
Khurja ,9,UTTAR PRADESH,111089,58577,52512,64643,37048,27595,896,824,67.63,73.99,60.64,10529,5967,4562
Kirari Suleman Nagar ,7,NCT OF DELHI,282598,152135,130463,191624,113079,78545,858,925,79.22,86.33,70.83,10621,7340,3281
Kishanganj ,10,BIHAR,107076,55688,51388,67286,37482,29804,923,946,74.71,79.84,69.13,7847,5536,2311
Kishangarh ,8,RAJASTHAN,155019,80343,74676,106809,61313,45496,929,876,80.15,89.19,70.52,13054,8153,4901
Kochi ,32,KERALA,601574,296668,304906,535318,265256,270062,1028,953,97.49,98.31,96.69,115773,54538,61235
Kolar ,29,KARNATAKA,138553,70064,68489,102978,54121,48857,978,985,84.02,87.28,80.69,11508,7007,4501
Kolhapur ,27,MAHARASHTRA,549283,280820,268463,459999,244256,215743,956,832,92.12,96.32,87.77,92443,52599,39844
Kolkata ,19,WEST BENGAL,4486679,2362662,2124017,3648210,1966122,1682088,899,930,87.14,89.08,84.98,818476,461615,356861
Kollam ,32,KERALA,349033,168076,180957,292641,142714,149927,1077,954,92.1,93.85,90.5,39521,17708,21813
Korba ,22,CHHATTISGARH,363210,188514,174696,267900,151701,116199,927,936,84.28,91.89,76.06,38726,23427,15299
Kota ,8,RAJASTHAN,1001365,529795,471570,738795,422767,316028,890,876,83.65,90.56,75.9,128652,73452,55200
Kozhikode ,32,KERALA,432097,206494,225603,378033,181451,196582,1093,960,96.8,97.93,95.78,61225,27701,33524
Krishnanagar ,19,WEST BENGAL,152203,76700,75503,128574,66262,62312,984,919,90.92,93.23,88.6,21326,12541,8785
Kulti ,19,WEST BENGAL,313977,163819,150158,214889,123380,91509,917,927,76.58,84.22,68.24,19371,12890,6481
Kumbakonam ,33,TAMIL NADU,140113,69350,70763,117500,60262,57238,1020,985,91.7,95.17,88.3,16862,9458,7404
Kurichi ,33,TAMIL NADU,125800,63033,62767,102816,53578,49238,996,979,90.42,94.13,86.71,13160,6926,6234
Kurnool ,28,ANDHRA PRADESH,424920,211875,213045,297490,158744,138746,1006,935,78.15,83.99,72.39,60589,37618,22971
Lakhimpur ,9,UTTAR PRADESH,152010,81050,70960,114526,63317,51209,876,872,84.39,87.53,80.82,25967,15036,10931
Lalitpur ,9,UTTAR PRADESH,133041,69548,63493,98108,55330,42778,913,925,83.96,90.5,76.78,17013,10255,6758
Latur ,27,MAHARASHTRA,382754,198151,184603,291226,160070,131156,932,850,86.43,92.32,80.19,42355,27669,14686
Loni ,9,UTTAR PRADESH,512296,273859,238437,328096,194048,134048,871,885,75.24,83.14,66.15,15572,10092,5480
Lucknow ,9,UTTAR PRADESH,2815601,1470133,1345468,2147564,1161250,986314,915,901,84.72,87.81,81.36,596990,326431,270559
Ludhiana ,3,PUNJAB,1613878,874773,739105,1230218,691161,539057,845,871,85.38,88.35,81.85,211267,104104,107163
Machilipatnam ,28,ANDHRA PRADESH,170008,83561,86447,130173,66337,63836,1035,947,83.32,86.73,80.05,19872,11957,7915
Madanapalle ,28,ANDHRA PRADESH,135669,67432,68237,99486,52994,46492,1012,937,81.4,87.61,75.31,16385,10050,6335
Madavaram ,33,TAMIL NADU,118525,59631,58894,96308,50467,45841,988,957,90.27,94.19,86.32,18525,10179,8346
